country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Brunei Darussalam,2019,,30748.7374865551,28401.255859375,21.5130004882813,-0.390522069165492,.,,"1,021.91",99.03,5.50,"4,051.94",2.58
Brunei Darussalam,2020,,27179.4119853371,,27.128999710083,1.94031996607178,.,,503.99,100.95,5.50,"3,721.32",2.86
Brunei Darussalam,2021,,31449.0765620727,,24.2649993896484,1.73341388450597,97.5899963378906,,"1,982.72",102.7,5.50,"4,717.08",2.51
Bhutan,2018,,3210.70626919782,-18.4071100191,14.6809997558594,2.72396386183716,.,,-462.86,,,,
Bhutan,2018,,3210.70626919782,-18.4071100191,14.6809997558594,2.72396386183716,.,,,162.75,14.00,987.25,113.37
Bhutan,2019,,3303.96421053812,-20.4865384865,11.0600004196167,2.72582104307304,.,,-452.2,167.18,14.00,"1,228.30",106.49
Bhutan,2020,,3009.92417072191,-15.7966640589,21.2159996032715,5.62999177986902,.,,-401.8,176.59,14.00,"1,423.13",130.89
Bhutan,2021,,3266.36490519183,-12.0963588978,15.4689998626709,7.34683859830958,70.9499969482422,,-284.91,189.57,14.00,932.58,132.42
Botswana,2018,,1.92532100563684,1.92532100563684,35.3390007019043,3.2380155894771,,93.4536267504333,169.94,,,,
Botswana,2018,,1.92532100563684,1.92532100563684,35.3390007019043,3.2380155894771,,93.4536267504333,,145.71,6.50,"6,656.91",14.98
Botswana,2019,,0.812639831928823,0.812639831928823,35.2849998474121,2.7728644286333,,92.3470676461724,"-1,467.06",149.75,6.40,"6,170.22",16.28
Botswana,2020,,-10.5864046375139,-10.5864046375139,41.6539993286133,1.89035916824198,,88.24403986214,"-2,603.33",152.58,5.75,"4,940.89",19.71
Botswana,2021,,9.09472194554309,9.09472194554309,38.5960006713867,7.24097765588449,,91.5525996743847,"-1,345.94",163.63,5.25,"4,801.61",20.16
Central African Republic,2018,,2.26226962464517,2.26226962464517,10.0019998550415,1.61215686991555,54.369,,,,,,50.05
Central African Republic,2019,,1.25591971402652,1.25591971402652,10.0679998397827,2.68537355266785,55.025,,,,,,47.15
Central African Republic,2020,,-0.817344070765286,-0.817344070765286,11.2049999237061,1.71015659523149,54.604,,,,,,43.42
Central African Republic,2021,,-0.864325168126205,-0.864325168126205,10.9890003204346,4.25936417542871,,,,,,,47.61
Canada,2018,0.360,44917.4837282326,512479.0,5.9,2.268225672481,37065084.0,102.64896243411,"-33,732.77",,,,
Canada,2018,0.360,44917.4837282326,512479.0,5.9,2.268225672481,37065084.0,102.64896243411,,114.52,...,"83,925.60",36.16
Canada,2019,0.004,45109.2444855151,522312.8,5.7,1.94926902411596,37601230.0,103.930072729699,"-25,538.10",116.76,...,"85,297.11",35.72
Canada,2020,-11.360,42258.6910170917,519350.8,5.5,0.716999632307852,38037204.0,106.732501501301,"-36,829.77",117.59,...,"90,428.14",59.45
Canada,2021,-5.039,43936.3081048252,520170.0,9.2,3.39519318527532,38246108,108.333889370788,-877.79,121.59,...,"106,615.12",55.55
Switzerland,2018,,86756.6021294513,180057.5,2.87319083,0.740257931292869,208,100.080927667639,"70,986.21",,,,
Switzerland,2018,,86756.6021294513,180057.5,2.87319083,0.740257931292869,208,100.080927667639,,99.19,2.63,"744,166.80",12.82
Switzerland,2019,,87123.6604363226,181960.9,2.33426803,0.560002810891802,211,100.641473725573,"65,101.06",99.55,2.63,"804,004.45",12.27
Switzerland,2020,,84434.7784901292,182290.1,2.30080576,0.202323798165289,211,100.845062610348,"43,945.42",98.82,2.63,"1,020,171.63",13.89
Switzerland,2021,,87339.7597519546,181946.2,3.38179772,-0.544291849811421,188,100.296144474932,"96,785.83",99.4,2.64,"1,048,962.98",13.82
Chile,2018,,13906.7702234013,47010219929887.0,7.26768224747039,2.18986963228229,.,107.39715082125,"-2,932.91",,,,
Chile,2018,,13906.7702234013,47010219929887.0,7.26768224747039,2.18986963228229,.,107.39715082125,,128.62,4.18,"39,848.70",25.82
Chile,2019,,13765.118249803,47826062781578.0,7.274777981524,2.10150492340469,.,109.772374406421,"-5,068.93",131.91,...,"40,643.49",28.3
Chile,2020,,12767.3039138968,47541758543337.0,8.07649781421379,3.46933962977667,.,113.574911246902,"11,615.62",135.93,...,"39,151.18",32.6
Chile,2021,,14115.9601368334,48254172895851.0,10.6664960457631,3.11138500575595,97.0400009155273,117.115955582593,"-1,451.17",142.08,...,"51,237.79",36.29
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,-765.45,,,,
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,"27,326.55",,,,
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,"87,905.15",,,,
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,,130.87,5.04,"424,534.05",
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,,140.19,5.29,"20,281.24",
China,2018,-4.283,9619.19248413627,13894817549374.2,,2.07479039965578,3180492335251.88,105.2,,121.56,4.35,"3,091,881.26",
China,2018,,,,,,3153325384104.21,,-765.45,,,,
China,2018,,,,,,3153325384104.21,,"27,326.55",,,,
China,2018,,,,,,3153325384104.21,,"87,905.15",,,,
China,2018,,,,,,3153325384104.21,,,130.87,5.04,"424,534.05",
China,2018,,,,,,3153325384104.21,,,140.19,5.29,"20,281.24",
China,2018,,,,,,3153325384104.21,,,121.56,4.35,"3,091,881.26",
China,2018,,,,,,3161783550720.97,,-765.45,,,,
China,2018,,,,,,3161783550720.97,,"27,326.55",,,,
China,2018,,,,,,3161783550720.97,,"87,905.15",,,,
China,2018,,,,,,3161783550720.97,,,130.87,5.04,"424,534.05",
China,2018,,,,,,3161783550720.97,,,140.19,5.29,"20,281.24",
China,2018,,,,,,3161783550720.97,,,121.56,4.35,"3,091,881.26",
China,2018,,,,,,3143582222423.71,,-765.45,,,,
China,2018,,,,,,3143582222423.71,,"27,326.55",,,,
China,2018,,,,,,3143582222423.71,,"87,905.15",,,,
