,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
218,Djibouti,DJI,Arab States,Global South,2019,1073994,3088853638.56832,3.31925372703833,,2876.0436637153653
219,Djibouti,DJI,Arab States,Global South,2018,1057198,2913466732.12507,0.147970849877116,,2755.8382934181395
220,Dominica,DMA,South/Latin America,Global South,2021,72412,554181481.481481,,,7653.171870428671
221,Dominica,DMA,South/Latin America,Global South,2020,71995,504214814.814815,-0.727116412668306,,7003.469891170428
222,Dominica,DMA,South/Latin America,Global South,2019,71428,611537037.037037,1.50462353858147,,8561.587011214608
223,Dominica,DMA,South/Latin America,Global South,2018,70823,554770370.37037,0.989191119189815,,7833.195012501165
224,Dominican Republic,DOM,South/Latin America,Global South,2021,11117873,94243453937.4462,8.24300347981817,7.69999980926514,8476.752157309784
225,Dominican Republic,DOM,South/Latin America,Global South,2020,10999664,78844702329.0785,3.78103179915516,6.13000011444092,7167.919159083269
226,Dominican Republic,DOM,South/Latin America,Global South,2019,10881882,88941299733.5018,1.8106037704296,6.17999982833862,8173.33800656006
227,Dominican Republic,DOM,South/Latin America,Global South,2018,10765531,85555378042.8196,3.56443426013507,5.8600001335144,7947.1582073210875
228,Ecuador,ECU,South/Latin America,Global South,2021,17797737,106165866000.0,0.133251386096455,4.5,5965.132870544159
229,Ecuador,ECU,South/Latin America,Global South,2020,17588595,99291124000.0,-0.338872392562274,6.1100001335144,5645.199289653324
230,Ecuador,ECU,South/Latin America,Global South,2019,17343740,108108009000.0,0.266012515466136,3.80999994277954,6233.258166923628
231,Ecuador,ECU,South/Latin America,Global South,2018,17015672,107562008000.0,-0.224103246005465,3.52999997138977,6321.349400717174
232,Egypt,EGY,Middle east,Global South,2021,109262178,404142766093.053,5.21404940513043,,3698.8349810586146
233,Egypt,EGY,Middle east,Global South,2020,107465134,365252651278.852,5.04493288977533,7.94000005722046,3398.8014315308255
234,Egypt,EGY,Middle east,Global South,2019,105618671,303080865603.645,9.15279959324812,7.84999990463257,2869.5765884390366
235,Egypt,EGY,Middle east,Global South,2018,103740765,249712999437.254,14.4014657807421,9.85999965667725,2407.086543435977
236,El Salvador,SLV,South/Latin America,Global South,2021,6314167,28736940000.0,3.46692585313078,4.32999992370605,4551.184661412978
237,El Salvador,SLV,South/Latin America,Global South,2020,6292731,24563020000.0,-0.371590212323993,5.01000022888184,3903.3958387860534
238,El Salvador,SLV,South/Latin America,Global South,2019,6280217,26881140000.0,0.0753241350024327,4.17000007629395,4280.288404047185
239,El Salvador,SLV,South/Latin America,Global South,2018,6276342,26020850000.0,1.09033000581896,4.01000022888184,4145.862351031859
240,Equatorial Guinea,GNQ,Africa,Global South,2021,1634466,12269392839.7472,,,7506.667523060865
241,Equatorial Guinea,GNQ,Africa,Global South,2020,1596049,10099158074.7273,4.76970498098298,,6327.599011513619
242,Equatorial Guinea,GNQ,Africa,Global South,2019,1553031,11364133801.8914,1.23869860205109,,7317.390188535451
243,Equatorial Guinea,GNQ,Africa,Global South,2018,1502091,13097011143.2874,1.34988438751676,,8719.18621660565
244,Eritrea,ERI,Africa,Global South,2021,3620312,,,,
245,Eritrea,ERI,Africa,Global South,2020,3555868,,,,
